[2026-04-04 03:30:42] === AlphaZero Loop Start (iteration=330, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-04 03:30:42] --- Iteration 330 (sims=64, global_step=329000) ---
[2026-04-04 03:30:42] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 4.20s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_330.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[ 170/300] samples:   8319 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10160/8384 | 4.57 games/s | ETA: 28s
[ 171/300] samples:   8369 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8120/8383 | 4.59 games/s | ETA: 28s
[ 172/300] samples:   8419 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7660/8378 | 4.62 games/s | ETA: 28s
[ 173/300] samples:   8469 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 10670/8392 | 4.64 games/s | ETA: 27s
[ 174/300] samples:   8519 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8840/8394 | 4.67 games/s | ETA: 27s
[ 175/300] samples:   8569 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8900/8397 | 4.69 games/s | ETA: 27s
[ 176/300] samples:   8619 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7760/8393 | 4.72 games/s | ETA: 26s
[ 177/300] samples:   8669 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 11500/8411 | 4.74 games/s | ETA: 26s
[ 178/300] samples:   8719 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 8440/8411 | 4.75 games/s | ETA: 26s
[ 179/300] samples:   8769 | chain(game/max/avg): 4/5/3.7 | reward(game/avg): 7000/8403 | 4.78 games/s | ETA: 25s
[ 180/300] samples:   8819 | chain(game/max/avg): 3/5/3.7 | reward(game/avg): 5460/8387 | 4.80 games/s | ETA: 25s
