[2026-04-06 17:58:46] --- Iteration 101 (sims=512, global_step=100000) ---
[2026-04-06 17:58:46] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_101_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [ 118/1000] samples:   5900 | chain(game/max/avg): 4/9/5.7 | reward(game/avg): 7920/19671 | 0.52 games/s | ETA: 1683s
[gpu0] [ 119/1000] samples:   5950 | chain(game/max/avg): 7/9/5.7 | reward(game/avg): 24080/19708 | 0.53 games/s | ETA: 1667s
[gpu0] [ 120/1000] samples:   6000 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 17120/19686 | 0.53 games/s | ETA: 1651s
[gpu0] [ 121/1000] samples:   6050 | chain(game/max/avg): 7/9/5.8 | reward(game/avg): 26960/19746 | 0.54 games/s | ETA: 1636s
[gpu0] [ 122/1000] samples:   6100 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 13040/19691 | 0.54 games/s | ETA: 1620s
[gpu0] [ 123/1000] samples:   6150 | chain(game/max/avg): 7/9/5.8 | reward(game/avg): 21780/19708 | 0.55 games/s | ETA: 1605s
[gpu0] [ 124/1000] samples:   6200 | chain(game/max/avg): 5/9/5.8 | reward(game/avg): 13190/19656 | 0.55 games/s | ETA: 1591s
[gpu0] [ 125/1000] samples:   6250 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 15080/19619 | 0.56 games/s | ETA: 1576s
[gpu0] [ 126/1000] samples:   6300 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 15700/19588 | 0.56 games/s | ETA: 1562s
[gpu0] [ 127/1000] samples:   6350 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 16230/19562 | 0.56 games/s | ETA: 1548s
[gpu0] [ 128/1000] samples:   6400 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 23120/19589 | 0.57 games/s | ETA: 1534s
[gpu0] [ 129/1000] samples:   6450 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 27260/19649 | 0.57 games/s | ETA: 1520s
[gpu0] [ 130/1000] samples:   6500 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 20050/19652 | 0.58 games/s | ETA: 1507s
[gpu0] [ 131/1000] samples:   6550 | chain(game/max/avg): 7/9/5.7 | reward(game/avg): 30560/19735 | 0.58 games/s | ETA: 1494s
[gpu0] [ 132/1000] samples:   6600 | chain(game/max/avg): 6/9/5.8 | reward(game/avg): 18060/19722 | 0.59 games/s | ETA: 1481s
[gpu0] [ 133/1000] samples:   6650 | chain(game/max/avg): 6/9/5.8 | reward(game/avg): 16720/19700 | 0.59 games/s | ETA: 1468s
[gpu0] [ 134/1000] samples:   6700 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 19530/19699 | 0.60 games/s | ETA: 1455s
[gpu0] [ 135/1000] samples:   6750 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 17010/19679 | 0.60 games/s | ETA: 1443s
[gpu0] [ 136/1000] samples:   6800 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 12620/19627 | 0.60 games/s | ETA: 1431s
[gpu0] [ 137/1000] samples:   6850 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 19510/19626 | 0.61 games/s | ETA: 1418s
[gpu0] [ 138/1000] samples:   6900 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 16580/19604 | 0.61 games/s | ETA: 1407s
[gpu0] [ 139/1000] samples:   6950 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 18380/19595 | 0.62 games/s | ETA: 1395s
[gpu0] [ 140/1000] samples:   7000 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 20940/19605 | 0.62 games/s | ETA: 1383s
[gpu0] [ 141/1000] samples:   7050 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 10900/19543 | 0.63 games/s | ETA: 1372s
[gpu0] [ 142/1000] samples:   7100 | chain(game/max/avg): 5/9/5.7 | reward(game/avg): 15920/19517 | 0.63 games/s | ETA: 1361s
[gpu0] [ 143/1000] samples:   7150 | chain(game/max/avg): 6/9/5.7 | reward(game/avg): 18980/19514 | 0.64 games/s | ETA: 1349s
[gpu0] [ 144/1000] samples:   7200 | chain(game/max/avg): 4/9/5.7 | reward(game/avg): 14660/19480 | 0.64 games/s | ETA: 1339s
